node_id,cluster_id
555,0
452,0
871,0
240,0
221,0
633,0
274,0
381,0
817,0
562,0
697,0
106,0
696,0
882,0
197,0
99,0
260,0
230,0
775,0
786,0
692,0
202,0
581,0
225,0
501,0
391,0
836,0
656,0
666,0
7,0
14,0
640,0
130,0
815,0
550,0
261,0
830,0
196,0
890,0
875,0
281,0
79,0
335,0
561,0
810,0
767,0
663,0
267,0
416,0
894,0
485,0
711,0
131,0
402,27
709,27
31,34
354,34
189,12
843,12
694,0
193,0
774,0
6,0
488,0
39,0
160,0
195,0
368,0
398,0
209,0
376,0
255,0
474,0
807,0
56,0
169,9
383,5
866,3
180,3
838,4
52,4
188,1
194,1
682,13
904,8
414,41
680,41
435,7
0,7
190,7
742,12
517,2
842,2
22,27
314,27
464,27
265,42
205,42
73,59
294,59
97,35
731,35
109,30
178,30
413,52
143,52
356,60
88,60
201,61
371,61
892,34
835,34
386,36
241,36
455,32
469,32
468,31
236,31
494,62
546,62
275,63
717,63
328,43
66,43
695,43
447,64
629,64
134,56
503,56
206,44
471,44
64,45
852,45
824,45
101,46
95,46
111,65
853,65
114,66
387,66
146,67
75,67
157,68
475,68
158,69
419,69
159,70
301,70
163,71
798,71
2,72
792,72
148,47
734,47
227,73
54,73
548,74
669,74
424,75
608,75
369,76
592,76
319,77
384,77
298,78
664,78
484,79
618,79
278,80
642,80
256,81
677,81
247,82
857,82
245,83
329,83
283,84
784,84
476,2
597,0
728,0
183,0
442,0
129,0
625,0
325,0
396,0
877,0
407,0
461,0
62,0
13,0
667,0
224,0
303,0
855,0
511,0
20,0
400,0
708,0
568,0
851,0
161,0
725,0
829,0
487,0
799,0
204,0
537,0
781,0
490,0
76,21
103,0
55,0
317,0
443,0
388,0
821,0
558,0
285,0
107,0
673,0
530,0
603,0
349,0
68,0
339,0
164,0
637,0
428,0
305,0
700,0
415,0
693,0
336,0
704,0
888,0
861,0
401,0
785,0
42,0
133,0
549,0
825,86
479,0
50,0
532,0
436,0
27,0
434,0
246,0
858,0
432,0
166,0
83,0
96,0
541,0
333,0
86,0
57,0
730,0
315,0
573,0
585,0
616,0
627,0
527,0
457,0
891,0
61,0
509,0
751,0
870,0
151,0
117,0
496,0
366,0
522,0
29,0
145,0
763,0
628,0
777,0
322,25
58,0
646,0
757,0
613,0
217,0
48,0
5,0
185,0
437,0
441,0
119,2
60,0
296,0
420,0
155,53
604,0
823,0
624,0
617,0
864,0
897,0
577,2
173,24
367,48
222,48
844,10
575,10
8,28
167,21
46,39
392,5
252,5
687,10
77,14
745,6
720,0
477,24
768,26
571,0
602,2
90,39
678,9
544,9
737,9
505,0
141,9
845,28
535,24
324,9
761,26
276,5
430,29
649,9
81,0
67,88
482,33
23,50
610,2
342,2
343,2
257,2
448,2
531,2
216,17
797,16
132,18
266,25
634,2
121,2
385,5
377,2
235,38
780,17
122,16
607,17
390,50
744,18
345,26
51,24
270,21
714,10
622,2
179,10
21,6
458,6
681,5
284,57
74,5
619,5
135,5
310,53
762,6
605,28
348,22
889,10
551,5
82,5
249,57
508,5
421,26
210,22
292,29
715,5
211,38
553,48
273,22
856,38
733,22
223,6
375,39
735,6
564,6
100,6
207,6
755,26
658,102
450,23
192,3
253,4
263,3
33,3
446,3
491,3
583,3
59,3
600,3
78,3
787,3
827,3
874,3
881,3
346,3
318,3
93,3
379,15
896,4
118,2
893,3
404,16
429,4
451,2
840,4
89,54
10,4
816,4
115,49
153,4
307,4
350,4
128,15
382,15
659,4
729,49
502,2
226,16
35,4
814,23
242,3
40,18
238,17
740,2
186,90
789,29
644,2
409,11
171,17
699,2
525,50
139,2
879,33
512,2
513,4
234,1
738,1
243,1
433,1
766,1
239,1
26,1
481,1
839,1
347,1
497,1
848,1
364,1
614,1
872,1
408,1
635,1
472,1
671,1
49,1
903,1
515,1
94,1
790,1
174,1
876,1
466,1
326,20
410,11
332,19
297,37
126,8
63,23
676,25
72,18
661,1
743,7
726,1
510,1
886,1
796,13
524,13
899,13
38,13
702,8
268,18
721,13
316,13
596,85
168,1
701,1
412,2
887,8
621,8
820,19
378,88
528,8
516,2
783,37
393,55
397,8
739,19
765,40
651,23
214,19
417,8
71,2
228,37
863,7
778,23
359,40
902,2
685,20
832,40
684,89
233,20
645,20
470,104
846,85
657,20
654,14
506,14
674,14
764,14
277,54
536,11
18,11
670,11
110,16
373,90
427,11
208,2
655,2
44,2
868,11
142,12
859,7
45,2
746,7
41,7
623,58
363,12
869,15
833,12
650,31
771,32
492,32
560,91
834,35
80,36
444,12
219,0
727,0
828,0
578,92
723,30
102,93
116,93
30,49
612,37
16,94
601,94
140,95
176,95
514,47
15,96
584,96
152,97
638,97
308,21
801,9
170,98
753,98
19,99
593,99
606,100
344,42
291,44
822,19
632,19
615,17
355,16
486,38
338,31
237,101
489,101
794,102
259,100
713,14
156,18
803,25
98,22
493,21
668,20
337,29
372,25
172,15
439,15
463,36
199,55
395,51
53,51
582,106
438,103
688,103
423,87
440,87
504,104
880,24
127,33
498,92
418,51
473,89
215,91
557,105
883,105
150,106
588,30
154,58
526,41
716,28
165,28
812,107
865,107
112,86
65,108
849,108
449,33
752,10
323,46
431,35
