node_id,cluster_id
219,0
828,0
145,0
751,0
891,0
474,0
871,0
555,0
225,0
581,0
692,0
786,0
817,0
633,0
221,0
197,0
815,0
696,0
882,0
775,0
99,0
317,0
767,0
663,0
416,0
260,0
617,0
624,0
720,12
230,0
204,0
265,12
55,0
807,0
877,0
103,0
725,0
894,0
799,0
333,0
255,0
452,0
202,0
381,0
830,0
240,0
119,2
517,2
577,2
607,2
450,2
622,44
226,2
602,2
377,22
420,0
562,0
487,0
810,0
485,0
412,30
208,2
537,0
267,0
457,0
561,0
79,0
106,0
14,0
366,0
195,0
33,3
797,2
501,0
185,0
829,0
400,0
461,0
407,0
728,0
13,0
550,0
398,0
745,4
76,23
697,0
376,0
160,0
646,0
303,0
167,19
77,4
249,11
568,0
86,0
58,0
774,0
527,0
335,0
714,4
222,4
383,4
890,0
56,0
864,0
367,21
141,4
385,15
687,4
169,0
768,4
889,4
46,28
666,0
494,56
866,3
192,3
881,3
491,3
787,3
893,3
180,3
600,3
346,3
263,3
242,3
93,3
827,3
274,0
875,0
628,0
391,0
640,0
522,0
763,0
836,0
196,0
117,0
61,0
6,0
39,0
7,0
656,0
441,0
442,0
62,0
625,0
315,0
368,0
730,0
217,0
183,0
708,0
488,0
161,0
296,0
897,12
711,0
261,0
131,0
209,0
5,0
223,9
553,29
575,26
443,0
681,4
430,43
735,57
437,0
855,0
29,0
188,1
347,1
635,1
848,1
481,1
396,0
496,0
838,6
408,1
701,1
26,1
239,1
903,1
194,1
466,1
433,1
515,1
234,1
614,1
49,1
472,1
839,1
671,1
790,1
766,1
364,1
243,1
876,1
20,0
682,5
536,39
904,5
297,5
326,17
228,5
72,5
63,5
48,0
597,0
281,0
224,0
130,0
613,0
307,6
379,6
869,51
896,6
52,6
497,1
94,1
726,1
168,1
661,1
738,1
886,1
174,1
872,1
510,1
325,0
667,0
151,0
81,0
129,0
509,0
842,2
739,5
832,5
765,5
316,32
676,35
404,14
343,2
634,2
71,38
427,16
118,2
216,2
604,0
541,0
60,0
870,0
823,0
851,0
757,0
777,0
414,23
428,0
96,0
700,0
83,0
57,0
885,58
694,0
858,0
511,0
10,6
616,0
193,0
490,0
164,0
133,0
401,0
285,0
781,0
627,0
107,0
434,0
785,0
479,0
305,0
42,0
50,0
388,0
27,0
68,0
821,0
549,0
603,0
436,0
97,52
125,39
516,2
740,38
238,38
332,5
644,30
126,5
531,2
502,10
508,29
761,29
551,29
498,17
856,11
292,11
82,4
252,21
780,2
231,59
132,2
410,5
186,13
727,0
128,6
564,19
715,9
21,53
235,11
139,16
409,2
397,17
277,51
273,4
610,2
318,3
348,55
658,55
268,60
345,9
284,9
122,10
482,10
0,7
863,7
573,0
530,0
324,15
535,15
733,4
247,61
612,61
476,2
109,24
606,24
156,24
605,18
44,13
874,3
341,31
15,31
572,31
542,31
276,62
375,62
729,37
840,37
35,6
723,36
135,36
721,32
205,12
710,21
685,40
67,40
214,32
844,9
210,25
179,53
270,4
651,35
657,35
525,2
266,2
24,14
322,14
755,25
451,2
512,2
342,2
421,18
51,18
337,41
895,41
34,41
392,4
742,8
78,3
477,4
41,7
435,7
190,7
859,7
746,7
257,2
121,2
569,30
699,2
422,13
448,2
596,5
578,33
399,33
769,33
173,15
350,37
153,6
513,6
115,42
623,42
879,2
171,10
40,10
45,2
845,4
211,18
737,18
454,63
463,63
158,64
419,64
358,65
418,65
177,66
411,66
319,67
384,67
362,68
526,68
704,0
462,69
580,69
312,70
523,70
334,71
518,71
340,72
507,72
506,28
484,73
618,73
321,74
480,74
552,39
353,19
244,75
293,75
227,76
54,76
218,25
423,25
212,13
2,77
792,77
163,78
798,78
159,79
301,79
254,36
331,43
245,80
329,80
291,17
288,81
826,81
283,82
784,82
157,83
475,83
776,44
492,27
771,27
764,19
505,0
500,84
808,84
901,10
269,85
898,85
878,13
111,86
853,86
233,54
84,54
148,45
837,45
819,42
556,87
691,87
719,33
290,88
716,88
424,89
608,89
23,22
599,22
594,19
593,26
649,26
369,90
592,90
584,23
680,23
116,91
632,91
213,92
703,92
256,93
677,93
675,11
548,94
669,94
298,95
664,95
278,96
642,96
636,43
150,15
833,8
843,8
814,30
789,21
783,5
59,3
189,8
22,20
709,20
702,97
820,97
655,14
528,40
142,8
253,51
902,44
395,98
175,98
38,99
796,99
354,34
892,34
835,34
31,34
201,100
371,100
743,7
314,20
464,20
402,20
178,24
834,52
868,5
778,22
359,16
390,14
386,46
241,46
80,46
373,59
43,6
236,47
650,47
546,56
53,101
806,101
470,60
469,27
455,27
447,102
629,102
444,8
363,8
378,17
637,0
146,103
75,103
143,104
413,104
114,105
387,105
112,47
105,106
713,106
102,57
90,21
867,58
64,48
824,48
801,11
328,49
66,49
100,9
645,32
582,16
101,50
95,50
11,50
271,12
259,16
207,26
206,107
471,107
734,45
532,0
888,0
571,0
429,6
89,6
446,3
8,28
583,3
458,28
432,0
336,0
166,0
246,0
415,0
585,0
558,0
673,0
693,0
339,0
861,0
349,0
695,49
852,48
