node_id,cluster_id
0,9
435,9
190,9
863,9
743,9
1,9
197,11
828,9
5,3
400,3
633,0
381,8
6,5
871,8
696,0
221,2
727,7
786,11
767,11
555,14
240,12
711,2
267,13
894,8
62,12
708,11
131,12
230,0
625,14
325,8
79,3
202,13
442,5
261,6
260,11
416,0
891,5
550,2
613,6
815,12
527,5
117,5
129,5
728,0
751,5
581,5
61,5
488,5
39,5
817,12
452,2
225,1
829,7
457,14
562,11
485,6
882,14
537,3
568,7
151,5
646,5
725,13
496,5
810,1
81,5
697,10
7,10
160,4
391,10
130,10
656,10
106,10
274,8
14,10
666,10
836,10
640,10
376,13
13,4
195,4
763,4
628,4
522,4
99,9
219,15
461,6
407,3
145,4
692,4
303,4
29,4
366,4
877,0
597,12
775,9
558,10
723,9
785,10
858,10
166,10
490,10
83,10
585,10
285,10
253,10
729,10
401,10
281,10
659,13
415,10
349,10
432,10
57,10
388,10
861,10
682,7
96,10
616,10
428,10
27,10
673,10
571,10
573,10
637,10
107,10
870,3
246,10
693,10
505,10
339,10
888,10
193,10
196,10
336,10
50,10
549,10
821,10
830,1
890,10
305,10
627,10
436,10
781,10
164,10
479,10
700,10
704,10
133,10
530,10
434,10
603,10
68,10
42,10
694,10
8,9
535,9
745,9
169,9
345,9
10,13
875,10
838,13
12,9
777,4
15,7
18,7
297,7
19,10
511,10
20,10
532,10
89,13
21,9
51,9
155,9
22,9
709,9
23,7
450,7
24,4
183,6
25,13
26,15
188,15
408,15
876,15
364,15
239,15
243,15
168,15
472,15
347,15
790,15
49,15
497,15
726,15
701,15
848,15
872,15
433,15
766,15
671,15
903,15
174,15
886,15
510,15
635,15
234,15
681,13
317,6
498,10
31,7
835,7
354,7
892,7
33,7
600,7
346,7
881,7
893,7
263,7
35,13
326,7
332,7
561,6
36,7
37,1
487,1
851,0
161,14
40,7
110,7
390,7
41,9
746,9
43,13
86,13
44,7
121,7
226,7
842,7
45,7
517,7
602,7
879,7
634,7
531,7
577,7
208,7
448,7
119,7
476,7
610,7
622,7
46,9
889,9
383,9
774,11
173,9
687,9
252,9
48,12
663,1
335,7
398,3
730,6
757,1
103,1
94,15
614,15
738,15
76,9
52,13
350,13
115,13
307,13
840,13
437,3
53,15
55,13
217,1
224,13
396,13
501,2
768,9
680,14
564,9
292,9
414,14
56,1
474,1
58,13
799,3
322,13
59,7
866,7
874,7
787,7
93,7
827,7
318,7
180,7
242,7
583,7
60,3
509,3
420,3
604,3
368,3
270,9
296,6
204,14
63,1
904,7
316,1
64,7
824,7
852,7
66,7
695,7
328,7
67,7
887,7
410,7
69,7
216,7
71,7
409,7
132,7
139,7
72,1
685,1
783,1
470,1
73,9
74,9
75,7
146,7
77,9
379,13
761,9
78,7
192,7
491,7
443,6
258,7
80,9
386,9
82,9
421,9
255,1
85,5
88,5
356,5
90,9
91,9
92,9
95,15
101,15
97,9
834,9
731,9
807,1
624,1
617,1
333,1
755,9
864,1
167,9
897,1
284,9
385,9
715,9
430,9
392,9
582,9
477,9
210,9
324,9
100,9
102,7
105,7
623,10
825,10
109,9
112,13
113,13
114,4
387,4
116,7
118,7
516,4
451,7
342,7
699,7
380,7
120,7
525,7
343,7
607,7
122,7
125,4
126,7
128,10
667,14
233,7
134,7
503,7
136,9
137,7
138,15
141,13
142,9
444,9
742,9
144,9
148,9
734,9
149,7
153,13
157,14
475,14
158,13
419,13
765,7
676,7
228,7
211,9
214,7
397,7
165,9
551,9
367,9
678,9
249,9
170,7
171,4
266,4
178,9
179,9
185,3
315,3
186,7
187,9
654,9
191,9
194,15
515,15
466,15
794,13
896,10
844,13
199,9
203,9
205,15
206,15
471,15
207,9
553,9
209,6
541,6
441,6
823,6
213,9
502,7
359,7
720,1
797,7
832,7
528,7
868,7
177,15
172,15
867,15
750,15
463,15
87,15
220,7
612,9
222,9
223,9
789,9
595,7
599,7
227,7
54,7
393,7
231,7
373,7
235,9
238,7
481,15
869,10
395,13
560,10
241,9
244,9
247,9
857,9
816,10
257,7
814,7
265,15
268,9
269,7
271,9
272,7
273,9
737,9
104,5
733,9
275,14
717,14
276,9
277,7
38,7
279,9
575,9
506,9
289,9
290,7
291,9
294,9
295,10
259,10
298,7
664,7
299,7
512,7
301,15
159,15
310,9
619,9
311,7
314,9
319,9
384,9
323,9
329,9
245,9
330,9
334,2
337,9
341,9
344,9
348,9
353,7
357,4
358,7
360,7
361,7
362,9
372,9
189,9
370,15
371,4
201,4
375,9
377,7
780,7
378,7
382,13
513,10
389,7
508,9
394,9
683,7
402,9
464,9
403,9
404,7
405,7
702,7
411,9
412,4
482,4
413,5
143,5
417,1
721,1
739,1
418,9
422,7
423,7
424,7
608,7
425,9
426,9
427,7
831,7
429,10
438,7
446,7
447,7
629,7
449,5
453,7
455,7
771,7
469,7
458,9
460,7
468,9
236,9
478,9
480,9
483,7
489,7
492,7
494,7
546,7
499,7
500,7
507,7
309,10
722,4
740,7
902,7
803,9
524,7
526,7
529,9
534,13
536,1
538,4
539,7
542,7
544,9
545,7
554,9
175,9
795,13
34,9
495,13
878,7
822,10
706,7
569,7
576,7
578,13
584,7
586,7
589,7
592,4
369,4
593,9
594,15
596,7
778,7
744,7
605,9
606,9
615,7
618,7
484,7
620,7
621,7
689,4
590,4
883,4
710,9
639,10
642,9
278,9
644,7
645,7
820,7
657,7
648,9
649,9
735,9
650,9
651,7
655,7
658,9
661,15
662,7
665,7
850,7
668,9
669,9
548,9
670,7
674,9
677,14
256,14
679,9
846,7
684,7
691,9
855,10
705,10
212,7
770,7
713,9
714,9
718,9
719,7
559,15
873,7
556,7
626,7
636,7
805,7
611,7
547,7
818,7
540,7
399,7
304,7
716,7
454,7
98,7
287,7
643,7
753,7
521,7
518,7
321,7
672,7
865,7
156,7
152,7
898,7
232,7
445,7
901,7
312,7
782,7
652,7
3,7
355,7
365,7
759,7
32,7
570,7
150,7
609,7
